State,ZIP Code,Size of AGI,Number of Returns,Adjust Gross Income
AL,35072,1,780,10611
AL,35072,2,570,20276
AL,35072,3,220,13030
AL,35072,4,150,12519
AL,35072,5,100,15160
AL,35072,6,0,0
AL,35073,1,370,4858
AL,35073,2,310,10986
AL,35073,3,130,7848
AL,35073,4,70,6211
AL,35073,5,50,6494
AL,35073,6,0,0
AL,35077,1,2210,28559
AL,35077,2,1480,53812
AL,35077,3,700,42845
AL,35077,4,440,38127
AL,35077,5,350,44424
AL,35077,6,30,13137
AL,35078,1,350,4635
AL,35078,2,230,8158
AL,35078,3,110,6764
AL,35078,4,80,6628
AL,35078,5,100,16617
AL,35078,6,0,0
AL,35079,1,1110,13846
AL,35079,2,830,30810
AL,35079,3,650,39911
AL,35079,4,430,37585
AL,35079,5,360,46116
AL,35079,6,40,15896
AL,35080,1,2120,23665
AL,35080,2,1420,52824
AL,35080,3,1240,76664
AL,35080,4,1060,92292
AL,35080,5,1740,233701
AL,35080,6,260,76856
AL,35083,1,460,6023
AL,35083,2,340,12410
AL,35083,3,190,11552
AL,35083,4,110,9253
AL,35083,5,100,14568
AL,35083,6,0,0
AL,35085,1,1340,17567
AL,35085,2,940,33693
AL,35085,3,510,31070
AL,35085,4,290,24883
AL,35085,5,290,37971
AL,35085,6,30,7455
AL,35087,1,390,5087
AL,35087,2,200,7160
AL,35087,3,120,7114
AL,35087,4,70,5680
AL,35087,5,60,8316
AL,35087,6,0,0
AL,35089,1,360,4993
AL,35089,2,250,8561
AL,35089,3,90,5506
AL,35089,4,30,2481
AL,35089,5,20,2508
AL,35089,6,0,0
AL,35091,1,310,3766
AL,35091,2,220,8075
AL,35091,3,230,14169
AL,35091,4,190,16755
AL,35091,5,290,36673
AL,35091,6,20,6242
AL,35094,1,2280,28955
AL,35094,2,1590,57934
AL,35094,3,990,61078
AL,35094,4,590,51117
AL,35094,5,700,91745
AL,35094,6,140,56507
AL,35096,1,1280,16673
AL,35096,2,910,32866
AL,35096,3,520,32138
AL,35096,4,340,29144
AL,35096,5,320,41052
AL,35096,6,50,17983
AL,35097,1,260,3280
AL,35097,2,200,7472
AL,35097,3,150,9432
AL,35097,4,90,7275
AL,35097,5,70,9913
AL,35097,6,0,0
AL,35098,1,230,2632
AL,35098,2,140,5088
AL,35098,3,70,4459
AL,35098,4,60,5147
AL,35098,5,60,7085
AL,35098,6,0,0
AL,35111,1,1970,24521
AL,35111,2,1500,55718
AL,35111,3,1240,76463
AL,35111,4,940,81108
AL,35111,5,1170,152117
AL,35111,6,150,44158
AL,35112,1,80,931
AL,35112,2,70,2321
AL,35112,3,30,2606
AL,35112,4,0,0
AL,35112,5,0,0
AL,35112,6,0,0
AL,35114,1,960,11089
AL,35114,2,590,21333
AL,35114,3,450,27683
AL,35114,4,370,31779
AL,35114,5,620,81504
AL,35114,6,80,23428
AL,35115,1,2320,28645
AL,35115,2,1280,46360
AL,35115,3,700,43292
AL,35115,4,390,33548
AL,35115,5,440,56645
AL,35115,6,70,21025
AL,35116,1,610,8029
AL,35116,2,480,17554
AL,35116,3,300,18278
AL,35116,4,240,20605
AL,35116,5,320,42349
AL,35116,6,50,16157
AL,35117,1,720,8850
AL,35117,2,640,23756
AL,35117,3,470,28881
AL,35117,4,340,29366
AL,35117,5,440,57142
AL,35117,6,70,19004
AL,35118,1,510,6477
AL,35118,2,370,13459
AL,35118,3,200,12233
AL,35118,4,140,11754
AL,35118,5,130,17068
AL,35118,6,0,0
AL,35120,1,2070,25970
AL,35120,2,1530,56375
AL,35120,3,1060,65050
AL,35120,4,680,59122
AL,35120,5,700,89994
AL,35120,6,70,25147
AL,35121,1,2310,29633
AL,35121,2,1570,57137
AL,35121,3,850,51943
AL,35121,4,490,42491
AL,35121,5,530,69388
AL,35121,6,130,51584
AL,35124,1,3380,40107
AL,35124,2,2530,93424
AL,35124,3,1780,109543
AL,35124,4,1270,109734
AL,35124,5,2150,292717
AL,35124,6,620,280841
AL,35125,1,1840,23553
AL,35125,2,1220,43854
AL,35125,3,600,36800
AL,35125,4,380,33024
AL,35125,5,310,39116
AL,35125,6,40,21250
AL,35126,1,3150,39512
AL,35126,2,2480,91272
AL,35126,3,1560,96032
AL,35126,4,1070,92495
AL,35126,5,1140,145806
AL,35126,6,100,31398
AL,35127,1,1440,18730
AL,35127,2,1210,44312
AL,35127,3,760,46797
AL,35127,4,440,37721
AL,35127,5,450,57999
AL,35127,6,40,15798
AL,35128,1,1460,18747
AL,35128,2,1010,36813
AL,35128,3,610,37790
